"title","average_rating","director","writer","metascore","cast","release_date","country_of_origin","languages","budget","worldwide_gross","runtime","first_released"
"Black Swan","8","Darren Aronofsky","Mark Heyman, Andres Heinz, John J. McLaughlin","79","Natalie Portman, Mila Kunis, Vincent Cassel, Winona Ryder, Barbara Hershey, Benjamin Millepied, Ksenia Solo, Kristina Anapau, Janet Montgomery, Sebastian Stan, Toby Hemingway, Sergio Torrado, Mark Margolis, Tina Sloan, Abraham Aronofsky, Charlotte Aronofsky, Marcia Jean Kurtz, Shaun O'Hagan","2011-02-25","United States","English, French, Italian","13000000","329398046","1 hour 48 minutes","India"
"The Revenant","8","Alejandro G. Iñárritu","Mark L. Smith, Alejandro G. Iñárritu, Michael Punke","76","Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson, Forrest Goodluck, Paul Anderson, Kristoffer Joner, Joshua Burge, Duane Howard, Melaw Nakehk'o, Fabrice Adde, Arthur RedCloud, Christopher Rosamond, Robert Moloney, Lukas Haas, Brendan Fletcher, Tyson Wood, McCaleb Burnett","2016-02-26","Hong Kong, Taiwan, United States","English, Pawnee, French","135000000","532950503","2 hours 36 minutes","India"
"The Incredibles","8","Brad Bird","Brad Bird","90","Craig T. Nelson, Samuel L. Jackson, Holly Hunter, Jason Lee, Dominique Louis, Teddy Newton, Jean Sincere, Eli Fucile, Maeve Andrews, Wallace Shawn, Spencer Fox, Lou Romano, Wayne Canney, Sarah Vowell, Michael Bird, Elizabeth Peña, Bud Luckey, Brad Bird","2011-10-27","United States","English, French, German, Italian, Portuguese, Russian","92000000","631688498","1 hour 55 minutes","India"
"Sin City","8","Frank Miller, Quentin Tarantino, Robert Rodriguez","Frank Miller, Robert Rodriguez","74","Mickey Rourke, Clive Owen, Bruce Willis, Jessica Alba, Devon Aoki, Alexis Bledel, Powers Boothe, Cara D. Briggs, Jude Ciccolella, Jeff Dashnaw, Rosario Dawson, Jesse De Luna, Benicio Del Toro, Jason Douglas, Michael Clarke Duncan, Tommy Flanagan, Christina Frankenfield, Rick Gomez","2005-04-01","United States","English","40000000","158733820","2 hours 4 minutes","United States"
"Zootopia","8","Byron Howard, Rich Moore, Jared Bush","Byron Howard, Rich Moore, Jared Bush","78","Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate, Nate Torrence, Bonnie Hunt, Don Lake, Tommy Chong, J.K. Simmons, Octavia Spencer, Alan Tudyk, Shakira, Raymond S. Persi, Della Saba, Maurice LaMarche, Phil Johnston, Fuschia!, John DiMaggio","2016-03-04","United States","English","150000000","1025521689","1 hour 48 minutes","India"
"Sling Blade","8","Billy Bob Thornton","Billy Bob Thornton","85","Billy Bob Thornton, Dwight Yoakam, J.T. Walsh, John Ritter, Lucas Black, Natalie Canerday, James Hampton, Robert Duvall, Rick Dial, Brent Briscoe, Christine Renee Ward, Sarah Boss, Kathy Sue Brown, Wendell Rafferty, Bruce Hampton, Vic Chesnutt, Mickey Jones, Ian Moore","1997-03-14","United States","English","1000000","24444121","2 hours 15 minutes","United States"
"The Avengers","8","Joss Whedon","Joss Whedon, Zak Penn","69","Robert Downey Jr., Chris Evans, Scarlett Johansson, Jeremy Renner, Mark Ruffalo, Chris Hemsworth, Tom Hiddleston, Clark Gregg, Cobie Smulders, Stellan Skarsgård, Samuel L. Jackson, Gwyneth Paltrow, Paul Bettany, Alexis Denisof, Tina Benko, Jerzy Skolimowski, Kirill Nikiforov, Jeff Wolfe","2012-04-27","United States","English, Russian","220000000","1520538536","2 hours 23 minutes","India"
"The Imitation Game","8","Morten Tyldum","Graham Moore, Andrew Hodges","71","Benedict Cumberbatch, Keira Knightley, Matthew Goode, Allen Leech, Rory Kinnear, Matthew Beard, Charles Dance, Mark Strong, James Northcote, Tom Goodman-Hill, Steven Waddington, Ilan Goodman, Jack Tarlton, Alex Lawther, Jack Bannon, Tuppence Middleton, Dominic Charman, James G. Nunn","2015-01-16","United States","English, German","14000000","233555708","1 hour 54 minutes","India"
"The Last Picture Show","8","Peter Bogdanovich","Larry McMurtry, Peter Bogdanovich","93","Timothy Bottoms, Jeff Bridges, Cybill Shepherd, Ben Johnson, Cloris Leachman, Ellen Burstyn, Eileen Brennan, Clu Gulager, Sam Bottoms, Sharon Ullrick, Randy Quaid, Joe Heathcock, Bill Thurman, Barc Doyle, Jessie Lee Fulton, Gary Brockette, Helena Humann, Loyd Catlett","1971-10-22","United States","English","1300000","29146255","1 hour 58 minutes","United States"
"The Pursuit of Happyness","8","Gabriele Muccino","Steve Conrad","64","Will Smith, Thandiwe Newton, Jaden Smith, Brian Howe, James Karen, Dan Castellaneta, Kurt Fuller, Takayo Fischer, Kevin West, George Cheung, David Michael Silverman, Domenic Bove, Geoff Callan, Joyful Raven, Scott Klace, Rashida Clendening, Eric Schniewind, Peter Fitzsimmons","2008-03-14","United States","English, Cantonese","55000000","307127625","1 hour 57 minutes","India"
"Twelve Monkeys","8","Terry Gilliam","Chris Marker, David Webb Peoples, Janet Peoples","75","Bruce Willis, Madeleine Stowe, Brad Pitt, Joseph Melito, Jon Seda, Michael Chance, Vernon Campbell, H. Michael Walls, Bob Adrian, Simon Jones, Carol Florence, Bill Raymond, Ernest Abuba, Irma St. Paule, Joey Perillo, Bruce Kirkpatrick, Wilfred Williams, Rozwill Young","2019-10-14","United States","English, French, Latin, Spanish, German","29000000","168839459","2 hours 9 minutes","India"
"Rosemary's Baby","8","Roman Polanski","Ira Levin, Roman Polanski","96","Mia Farrow, John Cassavetes, Ruth Gordon, Sidney Blackmer, Maurice Evans, Ralph Bellamy, Victoria Vetri, Patsy Kelly, Elisha Cook Jr., Emmaline Henry, Charles Grodin, Hanna Landy, Phil Leeds, D'Urville Martin, Hope Summers, Marianne Gordon, Wende Wagner, Toby Adler","2021-02-01","United States","English","3200000","3288","2 hours 17 minutes","India"
"JFK","8","Oliver Stone","Jim Garrison, Jim Marrs, Oliver Stone","72","Kevin Costner, Gary Oldman, Jack Lemmon, Walter Matthau, Sally Kirkland, Anthony Ramirez, Gary Taggart, Ray LePere, Steve Reed, Jodie Farber, Columbia Dubose, Randy Means, Jay O. Sanders, E.J. Morris, Cheryl Penland, Jim Gough, Perry R. Russo, Mike Longman","1991-12-20","France, United States","English, Spanish","40000000","205405498","3 hours 9 minutes","United States"
"Dances with Wolves","8","Kevin Costner","Michael Blake","72","Kevin Costner, Mary McDonnell, Graham Greene, Rodney A. Grant, Floyd 'Red Crow' Westerman, Tantoo Cardinal, Robert Pastorelli, Charles Rocket, Maury Chaykin, Jimmy Herman, Nathan Lee Chasing His Horse, Michael Spears, Jason R. Lone Hill, Tony Pierce, Doris Leader Charge, Tom Everett, Larry Joshua, Kirk Baltz","1990-11-21","United States, United Kingdom","English, Sioux, Pawnee","22000000","424208848","3 hours 1 minute","United States"
"The Graduate","8","Mike Nichols","Calder Willingham, Buck Henry, Charles Webb","83","Dustin Hoffman, Anne Bancroft, Katharine Ross, William Daniels, Murray Hamilton, Elizabeth Wilson, Buck Henry, Brian Avery, Walter Brooke, Norman Fell, Alice Ghostley, Marion Lorne, Eddra Gale, Frank Baker, George Bruggeman, Garrett Cassell, Buddy Douglas, Richard Dreyfuss","1970-01-09","United States","English","3000000","105017024","1 hour 46 minutes","India"
"Magnolia","8","Paul Thomas Anderson","Paul Thomas Anderson","78","Tom Cruise, Jason Robards, Julianne Moore, Philip Seymour Hoffman, Pat Healy, Genevieve Zweig, Mark Flanagan, Neil Flynn, Rod McLachlan, Allan Graf, Patton Oswalt, Raymond 'Big Guy' Gonzales, Brad Hunt, Jim Meskimen, Chris O'Hara, Clement Blake, Frank Elmore, John Kraft Seitz","2020-11-30","United States","English, German, French","37000000","48453541","3 hours 8 minutes","India"
"CODA","8","Sian Heder","Sian Heder, Victoria Bedos, Stanislas Carré de Malberg","72","Emilia Jones, Marlee Matlin, Troy Kotsur, Daniel Durant, John Fiore, Lonnie Farmer, Kevin Chapman, Amy Forsyth, Courtland Jones, Molly B. Thomas, Ferdia Walsh-Peelo, Ayana Brown, Jason Pugatch, Kyana Fanene, Anilee List, Eugenio Derbez, Stone Martin, Maeve Chapman","2021-08-13","France, Canada, United States","American Sign Language, English","10000000","1905058","1 hour 51 minutes","India"
"Groundhog Day","8","Harold Ramis","Danny Rubin, Harold Ramis","72","Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky, Brian Doyle-Murray, Marita Geraghty, Angela Paton, Rick Ducommun, Rick Overton, Robin Duke, Carol Bivins, Willie Garson, Ken Hudson Campbell, Les Podewell, Rod Sell, Tom Milanovich, John M. Watson Sr., Peggy Roeder","1993-02-12","United States","English, French, Italian","14600000","71108778","1 hour 41 minutes","United States"
"Scent of a Woman","8","Martin Brest","Giovanni Arpino, Bo Goldman, Ruggero Maccari","57","Al Pacino, Chris O'Donnell, James Rebhorn, Gabrielle Anwar, Philip Seymour Hoffman, Richard Venture, Bradley Whitford, Rochelle Oliver, Margaret Eginton, Tom Riis Farrell, Nicholas Sadler, Todd Louiso, Matt Smith, Gene Canfield, Frances Conroy, June Squibb, Ron Eldard, Sally Murphy","2013-11-05","United States","English","31000000","134095253","2 hours 36 minutes","India"
"Young Frankenstein","8","Mel Brooks","Gene Wilder, Mel Brooks, Mary Shelley","83","Gene Wilder, Madeline Kahn, Marty Feldman, Peter Boyle, Cloris Leachman, Teri Garr, Kenneth Mars, Richard Haydn, Liam Dunn, Danny Goldman, Oscar Beregi Jr., Arthur Malet, Richard A. Roth, Monte Landis, Rusty Blitz, Anne Beesley, Gene Hackman, John Madison","1974-12-15","United States","English, German","2800000","86276706","1 hour 46 minutes","Canada"
"Beauty and the Beast","8","Gary Trousdale, Kirk Wise","Linda Woolverton, Brenda Chapman, Chris Sanders","95","Paige O'Hara, Robby Benson, Jesse Corti, Rex Everhart, Angela Lansbury, Jerry Orbach, Bradley Pierce, David Ogden Stiers, Richard White, Jo Anne Worley, Mary Kay Bergman, Brian Cummings, Alvin Epstein, Tony Jay, Alec Murphy, Kimmy Robertson, Hal Smith, Kath Soucie","1991-11-22","United States, Japan","English, French","25000000","451291298","1 hour 24 minutes","United States"
"Blood Diamond","8","Edward Zwick","Charles Leavitt, C. Gaby Mitchell","64","Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers, Arnold Vosloo, Antony Coleman, Benu Mabhena, Anointing Lukola, David Harewood, Basil Wallace, Jimi Mistry, Michael Sheen, Marius Weyers, Stephen Collins, Ntare Guma Mbaho Mwine, Bouba Badiane, Ato Essandoh, Percy Matsemela","2007-06-25","United States, Germany, United Kingdom","English, Mende, Afrikaans","100000000","171720398","2 hours 23 minutes","India"
"Big Fish","8","Tim Burton","Daniel Wallace, John August","58","Ewan McGregor, Albert Finney, Billy Crudup, Jessica Lange, Helena Bonham Carter, Alison Lohman, Robert Guillaume, Marion Cotillard, Matthew McGrory, David Denman, Missi Pyle, Loudon Wainwright III, Ada Tai, Arlene Tai, Steve Buscemi, Danny DeVito, Deep Roy, Perry Walston","2004-03-26","United States","English, Cantonese","70000000","123235422","2 hours 5 minutes","India"
"Rain Man","8","Barry Levinson","Barry Morrow, Ron Bass","65","Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen, Jack Murdock, Michael D. Roberts, Ralph Seymour, Lucinda Jenney, Bonnie Hunt, Kim Robillard, Beth Grant, Dolan Dougherty, Marshall Dougherty, Patrick Dougherty, John-Michael Dougherty, Peter Dougherty, Andrew Dougherty, Loretta Wendt Jolivette","1990-09-16","United States","English, Italian","25000000","354825435","2 hours 13 minutes","India"
"A Woman Under the Influence","8","John Cassavetes","John Cassavetes","88","Gena Rowlands, Peter Falk, Fred Draper, Lady Rowlands, Katherine Cassavetes, Matthew Labyorteaux, Matthew Cassel, Christina Grisanti, George Dunn, Mario Gallo, Eddie Shaw, Angelo Grisanti, Charles Horvath, James Joyce, John Finnegan, Vincent Barbi, Cliff Carnell, Frank Richards","1974-11-18","United States","English, Italian","1000000","25601","2 hours 35 minutes","United States"
"Aladdin","8","Ron Clements, John Musker","Ron Clements, John Musker, Ted Elliott","86","Scott Weinger, Robin Williams, Linda Larkin, Jonathan Freeman, Frank Welker, Gilbert Gottfried, Douglas Seale, Charlie Adler, Jack Angel, Corey Burton, Philip L. Clarke, Jim Cummings, Jennifer Darling, Debi Derryberry, Bruce Gooch, Jerry Houser, Vera Lockwood, Sherry Lynn","1994-12-23","United States","English","28000000","504050219","1 hour 30 minutes","India"
"Lion","8","Garth Davis","Saroo Brierley, Luke Davies","69","Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar, Abhishek Bharate, Priyanka Bose, Khushi Solanki, Shankar Nisode, Tannishtha Chatterjee, Nawazuddin Siddiqui, Riddhi Sen, Kaushik Sen, Rita Roy, Udayshankar Pal, Surojit Das, Deepti Naval, Menik Gooneratne, David Wenham","2017-02-24","India, United Kingdom, Australia, United States","English, Hindi, Bengali","12000000","140853810","1 hour 58 minutes","India"
"Slumdog Millionaire","8","Danny Boyle, Loveleen Tandan","Simon Beaufoy, Vikas Swarup","84","Dev Patel, Freida Pinto, Saurabh Shukla, Anil Kapoor, Raj Zutshi, Jeneva Talwar, Irrfan Khan, Azharuddin Mohammed Ismail, Ayush Mahesh Khedekar, Jira Banjara, Sheikh Wali, Mahesh Manjrekar, Sanchita Choudhary, Himanshu Tyagi, Sharib Hashmi, Virendra Chatterjee, Feroze Khan, Sunil Kumar Agrawal","2009-01-23","United Kingdom, France, United States, India","English, Hindi","15000000","378411362","2 hours","India"
"Dog Day Afternoon","8","Sidney Lumet","Frank Pierson, P.F. Kluge, Thomas Moore","86","Al Pacino, John Cazale, Penelope Allen, Sully Boyar, Beulah Garrick, Carol Kane, Sandra Kazan, Marcia Jean Kurtz, Amy Levitt, John Marriott, Estelle Omens, Gary Springer, James Broderick, Charles Durning, Carmine Foresta, Lance Henriksen, Floyd Levine, Dick Anthony Williams","1975-12-25","United States","English","1800000","50002721","2 hours 5 minutes","United States"
"The Bourne Ultimatum","8","Paul Greengrass","Tony Gilroy, Scott Z. Burns, George Nolfi","85","Matt Damon, Edgar Ramírez, Joan Allen, Julia Stiles, David Strathairn, Scott Glenn, Paddy Considine, Albert Finney, Tom Gallop, Corey Johnson, Daniel Brühl, Joey Ansah, Colin Stinton, Dan Fredenburgh, Lucy Liemann, Bryan Reents, Arkie Reece, John Roberson","2007-09-21","United States, Germany, France, Spain","English, Russian, French, Spanish, Arabic, Italian","110000000","444100035","1 hour 55 minutes","India"
"Cinderella Man","8","Ron Howard","Cliff Hollingsworth, Akiva Goldsman","69","Russell Crowe, Renée Zellweger, Craig Bierko, Paul Giamatti, Paddy Considine, Bruce McGill, David Huband, Connor Price, Ariel Waller, Patrick Louis, Rosemarie DeWitt, Linda Kash, Nicholas Campbell, Gene Pyrz, Chuck Shamata, Ron Canada, Alicia Johnston, Troy Amos-Ross","2005-06-03","United States","English","88000000","108539911","2 hours 24 minutes","United States"
"Kill Bill: Vol. 2","8","Quentin Tarantino","Quentin Tarantino, Uma Thurman","83","Uma Thurman, David Carradine, Michael Madsen, Daryl Hannah, Vivica A. Fox, Ambrosia Kelley, Michael Parks, James Parks, Jonathan Loughran, Michael Bowen, Kenji Ôba, Yoshiyuki Morishita, Jun Kunimura, Gorô Daimon, Kazuki Kitamura, Akaji Maro, Shun Sugata, The 5.6.7.8's","2004-08-20","United States","English, Cantonese, Mandarin, Spanish","30000000","154118514","2 hours 17 minutes","India"
"The King's Speech","8","Tom Hooper","David Seidler","88","Colin Firth, Geoffrey Rush, Helena Bonham Carter, Derek Jacobi, Robert Portal, Richard Dixon, Paul Trussell, Adrian Scarborough, Andrew Havill, Charles Armstrong, Roger Hammond, Calum Gittins, Jennifer Ehle, Dominic Applewhite, Ben Wimsett, Freya Wilson, Ramona Marquez, David Bamber","2011-03-04","United States, United Kingdom","English","15000000","472088310","1 hour 58 minutes","India"
"Planet of the Apes","8","Franklin J. Schaffner","Michael Wilson, Rod Serling, Pierre Boulle","79","Charlton Heston, Roddy McDowall, Kim Hunter, Maurice Evans, James Whitmore, James Daly, Linda Harrison, Robert Gunner, Lou Wagner, Woodrow Parfrey, Jeff Burton, Buck Kartalian, Norman Burton, Wright King, Paul Lambert, Gene O'Donnell, Martin Abrahams, Army Archerd",\N,"United States","English","5800000","32600372","1 hour 52 minutes","India"
"Cool Hand Luke","8","Stuart Rosenberg","Donn Pearce, Frank Pierson, Hal Dresner","92","Paul Newman, George Kennedy, Strother Martin, J.D. Cannon, Lou Antonio, Robert Drivas, Jo Van Fleet, Clifton James, Morgan Woodward, Luke Askew, Marc Cavell, Richard Davalos, Robert Donner, Warren Finnerty, Dennis Hopper, John McLiam, Wayne Rogers, Harry Dean Stanton","1967-11-01","United States","English","3200000","1767","2 hours 7 minutes","United States"
"Butch Cassidy and the Sundance Kid","8","George Roy Hill","William Goldman","66","Paul Newman, Robert Redford, Katharine Ross, Strother Martin, Henry Jones, Jeff Corey, George Furth, Cloris Leachman, Ted Cassidy, Kenneth Mars, Donnelly Rhodes, Jody Gilbert, Timothy Scott, Don Keefer, Charles Dierkop, Pancho Córdova, Nelson Olmsted, Paul Bryar","1969-09-24","United States, Mexico","English, Spanish","6000000","102311848","1 hour 50 minutes","United States"
"The Straight Story","8","David Lynch","John Roach, Mary Sweeney","86","Richard Farnsworth, Sissy Spacek, Jane Galloway Heitz, Joseph A. Carpenter, Donald Wiegert, Tracey Maloney, Dan Flannery, Jennifer Edwards-Hughes, Ed Grennan, Jack Walsh, Max the Wonder Dog, Gil Pearson, Barbara June Patterson, Everett McGill, Anastasia Webb, Matt Guidry, Bill McCallum, Barbara E. Robertson","1999-11-03","United Kingdom, France, United States","English","10000000","6449471","1 hour 52 minutes","France"
"The Night of the Hunter","8","Charles Laughton","Davis Grubb, James Agee, Charles Laughton","97","Robert Mitchum, Shelley Winters, Lillian Gish, James Gleason, Evelyn Varden, Peter Graves, Don Beddoe, Billy Chapin, Sally Jane Bruce, Gloria Castillo, Corey Allen, Oscar Blank, Paul Bryar, Nora Bush, Cheryl Callaway, Alexander Campbell, Michael Chapin, Noble 'Kid' Chissell","1955-07-27","United States","English","795000","6030","1 hour 32 minutes","United States"
"Fiddler on the Roof","8","Norman Jewison","Sholom Aleichem, Arnold Perl, Joseph Stein","67","Topol, Norma Crane, Leonard Frey, Molly Picon, Paul Mann, Rosalind Harris, Michele Marsh, Neva Small, Paul Michael Glaser, Ray Lovelock, Elaine Edwards, Candy Bonstein, Shimen Ruskin, Zvee Scooler, Louis Zorich, Alfie Scopp, Howard Goorney, Barry Dennen","1971-11-03","United States","English, Hebrew, Russian","9000000","10407120","3 hours 1 minute","United States"
"Annie Hall","8","Woody Allen","Woody Allen, Marshall Brickman","92","Woody Allen, Diane Keaton, Tony Roberts, Carol Kane, Paul Simon, Shelley Duvall, Janet Margolin, Colleen Dewhurst, Christopher Walken, Donald Symington, Helen Ludlam, Mordecai Lawner, Joan Neuman, Jonathan Munk, Ruth Volner, Martin Rosenblatt, Hy Anzell, Rashel Novikoff","1977-04-20","United States","English, German","4000000","38289445","1 hour 33 minutes","United States"
"Papillon","8","Franklin J. Schaffner","Dalton Trumbo, Lorenzo Semple Jr., Henri Charrière","58","Steve McQueen, Dustin Hoffman, Victor Jory, Don Gordon, Anthony Zerbe, Robert Deman, Woodrow Parfrey, Bill Mumy, George Coulouris, Ratna Assan, William Smithers, Val Avery, Gregory Sierra, Vic Tayback, Mills Watson, Ron Soble, Barbara Morrison, Don Hanmer","1973-12-19","France, United States","English, Spanish","12000000","53267000","2 hours 31 minutes","United States"
"What Ever Happened to Baby Jane?","8","Robert Aldrich","Henry Farrell, Lukas Heller, Jean Redot","75","Bette Davis, Joan Crawford, Victor Buono, Wesley Addy, Julie Allred, Anne Barton, Marjorie Bennett, Bert Freed, Anna Lee, Maidie Norman, Dave Willock, William Aldrich, Russ Conway, Maxine Cooper, Robert Cornthwaite, Michael Fox, Gina Gillespie, Barbara Merrill","1962-10-31","United States","English","980000","4154","2 hours 14 minutes","United States"
